lineage,taxon,n,conc,level1
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Metridinidae,Metridinidae,1030,193.8,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Paracalanidae/Calocalanus/Calocalanus pavo,Calocalanus pavo,60,50.2,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Pontellidae,Pontellidae,6,2.9,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Calanoida/Temoridae,Temoridae,15144,7627.5,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Cyclopoida/Oithonidae,Oithonidae,50283,47803.0,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Harpacticoida,Harpacticoida,3763,3354.7,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Harpacticoida/Euterpina,Euterpina,399,206.5,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Monstrilloida,Monstrilloida,3,6.8,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Poecilostomatoida/Corycaeidae,Corycaeidae,17488,8659.7,Copepoda
living/Eukaryota/Opisthokonta/Holozoa/Metazoa/Arthropoda/Crustacea/Maxillopoda/Copepoda/Poecilostomatoida/Oncaeidae,Oncaeidae,13707,9165.6,Copepoda
